t,large,medium,small
398,10,12,12
399,10,12,11
400,9,9,9
401,7,7,7
402,6,6,6
403,6,5,4
404,6,4,3
405,6,5,3
406,6,4,3
407,6,4,4
408,6,4,3
409,5,4,3
410,6,4,3
411,6,4,3
412,6,5,3
413,6,4,3
414,6,5,4
415,6,5,4
416,6,4,4
417,6,5,4
418,6,5,4
419,6,5,4
420,7,5,3
421,6,5,4
422,7,5,4
423,6,5,3
424,6,5,4
425,6,5,4
426,6,5,4
427,6,5,4
428,6,5,3
429,7,5,4
430,7,5,4
431,6,5,4
432,6,5,4
433,6,5,4
434,6,5,4
435,6,5,4
436,6,5,4
437,6,5,4
438,7,5,4
439,6,5,3
440,6,5,4
441,6,5,4
442,6,5,3
443,6,5,4
444,6,5,4
445,6,5,4
446,6,5,4
447,6,5,4
448,6,5,4
449,6,5,4
450,6,5,4
451,6,5,4
452,6,5,4
453,6,5,4
454,6,5,4
455,6,5,4
456,6,5,3
457,6,5,4
458,6,5,3
459,6,5,3
460,6,4,3
461,6,4,3
462,6,4,3
463,5,4,5
464,6,5,6
465,7,7,8
466,8,9,10
467,10,12,11
468,12,13,13
469,12,15,13
470,12,15,14
471,12,14,13
472,11,14,12
473,10,12,11
474,9,9,10
475,8,8,8
476,7,6,6
477,6,5,4
478,6,5,3
479,6,5,3
480,6,5,3
481,6,5,4
482,6,5,3
483,6,5,3
484,7,5,3
485,6,5,4
486,7,5,4
487,7,5,4
488,6,5,4
489,7,5,4
490,7,5,4
491,6,5,4
492,7,5,4
493,7,5,4
494,7,5,4
495,7,5,4
496,7,5,4
497,7,5,4
498,7,5,4
499,7,5,4
500,7,5,4
501,7,5,4
502,7,5,4
503,7,5,4
504,7,5,4
505,7,6,4
506,7,5,4
507,7,6,4
508,7,5,4
509,7,5,4
510,7,5,4
511,7,5,4
512,7,5,4
513,7,5,4
514,7,5,4
515,7,5,4
516,7,5,4
517,7,5,4
518,7,6,5
519,7,5,4
520,7,6,4
521,7,6,4
522,7,5,4
523,7,6,4
524,7,6,5
525,7,6,4
526,7,5,4
527,7,6,4
528,7,6,5
529,7,6,4
530,7,5,5
531,7,5,4
532,7,6,4
533,7,6,4
534,7,5,4
535,7,6,4
536,7,6,4
537,7,5,4
538,7,5,4
539,7,5,4
540,7,5,3
541,6,5,3
542,7,4,3
543,6,4,3
544,6,4,5
545,7,5,6
546,7,7,7
547,8,9,9
548,9,11,12
549,11,14,13
550,13,16,15
