t,large,medium,small
398,9,8,5
399,8,9,6
400,9,9,5
401,8,9,5
402,8,8,5
403,8,8,5
404,7,7,4
405,7,7,4
406,7,9,5
407,10,13,7
408,15,18,10
409,19,23,13
410,22,26,15
411,22,26,15
412,19,23,13
413,16,19,11
414,12,15,8
415,9,11,6
416,7,8,5
417,7,7,4
418,7,7,4
419,7,8,4
420,8,8,5
421,8,8,5
422,8,8,5
423,7,8,5
424,8,8,5
425,8,8,5
426,8,8,5
427,8,8,4
428,8,9,5
429,8,8,5
430,8,8,5
431,8,9,5
432,8,8,5
433,8,8,5
434,8,9,5
435,8,8,5
436,8,9,5
437,8,8,5
438,8,9,5
439,8,9,5
440,8,9,5
441,8,9,5
442,9,9,6
443,9,8,5
444,8,9,5
445,8,9,5
446,9,9,5
447,9,9,5
448,9,9,5
449,8,9,5
450,8,9,5
451,9,9,5
452,8,9,5
453,8,8,5
454,8,9,5
455,8,9,5
456,8,8,5
457,8,9,5
458,8,9,5
459,8,9,5
460,8,9,5
461,8,9,5
462,8,9,5
463,8,9,5
464,9,9,5
465,8,8,5
466,8,9,5
467,8,9,5
468,8,9,5
469,8,8,5
470,8,8,5
471,8,7,4
472,7,7,4
473,6,7,4
474,6,8,4
475,9,11,6
476,13,16,8
477,17,21,11
478,19,24,13
479,19,23,13
480,18,22,12
481,15,18,10
482,12,15,7
483,9,11,5
484,6,8,4
485,6,6,3
486,6,6,4
487,6,7,4
488,7,7,4
489,7,7,4
490,6,7,4
491,7,7,4
492,7,7,4
493,7,8,4
494,7,7,4
495,7,7,4
496,8,7,4
497,7,7,4
498,7,7,4
499,7,8,4
500,7,7,5
501,8,7,4
502,7,8,4
503,7,7,5
504,7,7,4
505,7,7,4
506,7,8,4
507,7,7,4
508,7,8,4
509,8,8,5
510,8,8,5
511,7,7,4
512,7,7,4
513,7,8,4
514,9,9,5
515,9,9,6
516,9,9,5
517,9,9,6
518,8,9,5
519,8,8,5
520,8,9,6
521,8,9,5
522,9,9,6
523,8,9,5
524,8,8,5
525,8,8,5
526,8,9,5
527,8,8,5
528,8,8,5
529,8,8,5
530,8,8,5
531,8,8,5
532,8,8,5
533,8,8,5
534,8,8,5
535,8,8,5
536,8,9,5
537,8,8,5
538,8,8,5
539,8,8,5
540,8,8,5
541,8,8,4
542,8,8,5
543,8,8,5
544,8,8,5
545,8,8,5
546,7,8,4
547,7,7,4
548,6,6,3
549,6,7,3
550,7,9,5
551,10,13,7
552,13,17,9
553,15,19,10
554,15,19,10
555,12,15,8
556,9,12,6
557,6,9,4
558,5,7,4
559,5,5,3
560,5,5,3
561,5,6,4
562,5,6,3
563,6,6,3
564,6,7,3
565,6,6,4
566,6,6,3
567,6,6,3
568,6,7,4
569,6,6,3
570,6,6,3
571,5,6,4
572,6,6,4
573,6,7,3
574,6,7,3
575,6,7,4
576,6,7,3
577,6,7,4
578,6,6,4
579,6,7,3
580,6,7,4
581,6,7,4
582,6,7,3
583,6,7,4
584,7,7,4
585,6,7,4
586,6,7,4
587,6,7,4
588,6,7,4
589,6,7,4
590,6,7,4
591,6,7,4
592,6,7,4
593,6,7,4
594,6,7,4
595,6,7,4
596,6,7,4
597,6,7,4
598,6,7,4
599,6,7,4
600,6,7,4
601,6,7,4
602,6,7,4
603,6,7,4
604,6,7,4
605,6,7,4
606,6,7,4
607,7,7,4
608,7,7,4
609,6,7,4
610,6,7,4
611,6,7,4
612,6,6,3
613,5,5,3
614,4,5,2
615,4,6,2
616,7,10,5
617,13,17,9
618,20,24,14
619,21,25,14
620,19,23,13
621,16,19,10
622,11,14,7
623,8,10,5
624,5,7,4
625,5,6,3
626,6,7,4
627,6,7,4
628,7,7,4
629,7,7,4
630,6,7,4
631,7,6,4
632,6,7,4
633,6,7,4
634,6,7,4
635,7,7,4
636,7,7,4
637,7,7,4
638,7,7,4
639,7,7,4
640,7,7,4
641,7,7,4
642,7,7,4
643,6,7,4
644,7,7,4
645,7,7,4
646,6,7,4
647,7,7,4
648,7,7,4
649,7,7,4
650,7,7,4
651,7,7,4
652,7,7,5
653,7,7,4
654,7,7,4
655,7,7,5
656,6,7,4
657,7,7,4
658,7,7,5
659,8,8,6
660,7,8,5
